@relation clustering_1_clustered

@attribute Instance_number numeric
@attribute requests/s numeric
@attribute processtime numeric
@attribute queuetime numeric
@attribute sendtime numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
343,1970.157028,0.003068,0.001395,0.000142,cluster2
344,1986.549459,0.00282,0.000797,0.000168,cluster2
345,1859.300294,0.002911,0.006333,0.000157,cluster2
346,1906.966813,0.002292,0.000175,0.000227,cluster2
347,1895.127949,0.002373,0.000781,0.000135,cluster2
348,1871.546892,0.002247,0.00017,0.000159,cluster2
349,1871.155912,0.002099,0.000295,0.000147,cluster2
350,1904.380296,0.002478,0.000547,0.000164,cluster2
351,1846.234461,0.0032,0.007612,0.000141,cluster2
352,1961.596428,0.002631,0.000486,0.000129,cluster2
353,1856.638232,0.002663,0.000617,0.000165,cluster2
354,1893.819864,0.002171,0.000239,0.000125,cluster2
355,1851.283293,0.002181,0.000206,0.000152,cluster2
356,1863.371134,0.002293,0.00018,0.000167,cluster2
357,1890.347485,0.002089,0.000404,0.000159,cluster2
358,1870.300813,0.002136,0.000142,0.000101,cluster2
359,1836.836763,0.002152,0.000382,0.000099,cluster2
360,1838.469889,0.002242,0.000265,0.000124,cluster2
361,1960.942523,0.002159,0.000194,0.000116,cluster2
362,1961.875527,0.002935,0.00531,0.000181,cluster2
363,1976.639489,0.002142,0.000242,0.000123,cluster2
364,1904.84171,0.002542,0.000593,0.000123,cluster2
365,2009.153712,0.003239,0.002208,0.000136,cluster2
366,1955.737894,0.002857,0.000539,0.000147,cluster2
367,1957.857122,0.003279,0.005324,0.000157,cluster2
368,1974.025356,0.002815,0.00115,0.000128,cluster2
369,1907.50401,0.002946,0.001271,0.000126,cluster2
370,1934.582917,0.002847,0.001635,0.000165,cluster2
371,1939.663343,0.002798,0.000592,0.000166,cluster2
372,1921.558075,0.002854,0.000929,0.000149,cluster2
373,1926.884248,0.002998,0.001,0.000188,cluster2
374,1963.115585,0.003377,0.003804,0.000187,cluster2
375,2031.043312,0.002975,0.002327,0.000156,cluster2
376,1997.959884,0.002824,0.000728,0.000184,cluster2
377,1976.8376,0.002923,0.0021,0.000196,cluster2
378,1967.434818,0.003031,0.000567,0.000239,cluster2
379,2006.951216,0.002875,0.001411,0.000154,cluster2
380,2002.876437,0.003207,0.001651,0.000174,cluster2
381,1895.67954,0.002994,0.000623,0.000171,cluster2
382,1972.201393,0.003055,0.002389,0.000196,cluster2
383,1960.968751,0.002772,0.000422,0.000172,cluster2
384,1933.351756,0.002726,0.000398,0.00014,cluster2
385,1936.995608,0.002855,0.000813,0.000153,cluster2
386,1943.727232,0.002817,0.001147,0.000135,cluster2
387,1949.100939,0.002988,0.000938,0.00017,cluster2
