Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada
2024/03/04 22:53:39;4308040;117460;3974128
2024/03/04 22:53:44;4304764;117492;3977828
2024/03/04 22:53:49;4308544;117512;3974184
2024/03/04 22:53:55;4305016;117540;3974180
2024/03/04 22:54:00;4305016;117556;3977856
2024/03/04 22:54:05;4305016;117572;3974208
2024/03/04 22:54:10;4307568;117604;3974212
2024/03/04 22:54:15;4303296;117632;3977888
2024/03/04 22:54:20;4306572;117676;3974248
2024/03/04 22:54:25;4308516;117704;3972424
2024/03/04 22:54:30;4304808;117740;3975872
2024/03/04 22:54:35;4306068;117768;3972220
2024/03/04 22:54:40;4305340;117792;3973476
2024/03/04 22:54:45;4304584;117824;3973552
2024/03/04 22:54:50;4304836;117844;3973748
2024/03/04 22:54:55;4301168;117892;3976720
2024/03/04 22:55:00;4301840;117928;3976508
2024/03/04 22:55:05;4302092;117952;3976520
2024/03/04 22:55:10;4302092;117992;3974808
2024/03/04 22:55:15;4302728;118000;3974312
2024/03/04 22:55:20;4302860;118032;3974112
2024/03/04 22:55:25;4302612;118064;3974112
2024/03/04 22:55:30;4301352;118084;3974112
2024/03/04 22:55:35;4296564;118112;3976864
2024/03/04 22:55:40;4295808;118156;3974120
2024/03/04 22:55:45;4278328;118232;3974148
2024/03/04 22:55:50;4282336;118240;3974148
2024/03/04 22:55:56;4284608;118256;3974580
2024/03/04 22:56:01;4286252;118276;3974808
2024/03/04 22:56:06;4286636;118296;3974808
2024/03/04 22:56:11;4288812;118312;3974176
2024/03/04 22:56:16;4289328;118340;3975780
2024/03/04 22:56:21;4294384;118360;3974228
2024/03/04 22:56:26;4292904;118432;3974232
2024/03/04 22:56:31;4292652;118464;3974236
2024/03/04 22:56:36;4291644;118480;3975840
2024/03/04 22:56:41;4287640;118536;3975864
2024/03/04 22:56:46;4318980;118560;3975844
2024/03/04 22:56:51;4309468;118624;3974692
2024/03/04 22:56:56;4308736;118672;3974724
2024/03/04 22:57:01;4309996;118712;3974728
